Seat Fare Type 1,Seat Fare Type 2,Bus,Service Date,RecordedAt
"900.00,800.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,11-07-2020 16:28
"910.00,833.00,795.00,762.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,11-07-2020 19:17
"910.00,833.00,795.00,762.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,12-07-2020 09:02
"910.00,833.00,795.00,762.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,12-07-2020 10:05
"876.00,800.00,767.00,729.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,13-07-2020 01:53
600,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 06:16
"876.00,800.00,767.00,729.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 06:37
"800.00,767.00,729.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 06:38
"876.00,800.00,767.00,729.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 07:15
729,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 08:13
729,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 09:40
729,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 10:01
729,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 12:46
729,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 12:48
729,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 12:53
729,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 12:56
"738.00,733.00,729.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 13:13
"657.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 16:03
"657.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 19:50
"657.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 23:33
"657.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 23:35
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,14-07-2020 23:52
"676.00,662.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 01:49
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 02:18
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 02:35
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 04:20
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 04:26
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 04:31
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 04:33
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 04:33
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 04:34
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 04:35
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 04:36
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 04:46
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 05:31
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 05:31
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 05:37
"681.00,667.00,652.00",,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 06:45
652,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 07:07
652,,d6fa79179fda2a77455794637f225962,15-07-2020 00:00,15-07-2020 07:12
,0,23400e84ea8d9f642252d1c343d26464,15-07-2020 00:00,14-06-2020 23:22
